Flight     | Airline                                  | Arrival Time         | Origin   | Model    | Reg
3U3405     | Sichuan Airlines                         | 2026-02-12 08:35     | XIC      | A320     | B-9935
MU5677     | China Eastern Airlines                   | 2026-02-12 08:40     | HGH      | A320     | B-6758
GJ8908     | Loong Air                                | 2026-02-12 08:40     | BKK      | 320      | N/A
MU2413     | China Eastern Airlines                   | 2026-02-12 08:40     | TAO      | A321     | B-8568
MU2426     | China Eastern Airlines                   | 2026-02-12 08:45     | DSN      | A320     | B-6617
DR6557     | Ruili Airlines                           | 2026-02-12 08:50     | KMG      | B738     | B-1186
AQ1105     | 9 Air                                    | 2026-02-12 08:50     | CAN      | B38M     | B-208H
EU2729     | Chengdu Airlines                         | 2026-02-12 08:50     | CSX      | A20N     | B-32EQ
SC4965     | Shandong Airlines                        | 2026-02-12 08:50     | TAO      | B738     | B-5348
9C8753     | Spring Airlines                          | 2026-02-12 08:50     | SZX      | 320      | N/A
CA1769     | Air China                                | 2026-02-12 08:55     | HGH      | A319     | B-6213
HU7137     | Hainan Airlines                          | 2026-02-12 08:55     | PEK      | B38M     | B-228A
MU2429     | China Eastern Airlines                   | 2026-02-12 08:55     | TNA      | A320     | B-6871
GT1041     | Air Guilin                               | 2026-02-12 09:00     | KWL      | 320      | N/A
MU9093     | China Eastern Airlines                   | 2026-02-12 09:00     | HFE      | AJ27     | B-659H
MU2143     | China Eastern Airlines                   | 2026-02-12 09:15     | SHA      | A20N     | B-325T
CA1231     | Air China                                | 2026-02-12 09:20     | PEK      | C919     | B-659J
GX8897     | GX Airlines                              | 2026-02-12 09:20     | NNG      | A320     | B-32DD
MU2795     | China Eastern Airlines                   | 2026-02-12 09:20     | NKG      | A20N     | B-30ET
CA8219     | Air China                                | 2026-02-12 09:25     | WUH      | A320     | B-6916
MU2971     | China Eastern Airlines                   | 2026-02-12 09:30     | CZX      | A319     | B-6463
KY8251     | Kunming Airlines                         | 2026-02-12 09:30     | KMG      | B738     | B-6492
MU9988     | China Eastern Airlines                   | 2026-02-12 09:30     | HET      | A319     | B-6466
3U6311     | Sichuan Airlines                         | 2026-02-12 09:35     | TFU      | A320     | B-1820
HU7165     | Hainan Airlines                          | 2026-02-12 09:35     | HAK      | 73H      | N/A
MU5551     | China Eastern Airlines                   | 2026-02-12 09:35     | KHN      | A320     | B-6928
MU6955     | China Eastern Airlines                   | 2026-02-12 09:35     | CAN      | B738     | B-5796
CMS571     | CAMEX Airlines                           | 2026-02-12 09:39     | TBS      | B738     | 4L-CMX
CA2875     | Air China                                | 2026-02-12 09:40     | TSN      | 738      | N/A
MF8209     | Xiamen Air                               | 2026-02-12 09:40     | HGH      | B738     | B-7557
9C8845     | Spring Airlines                          | 2026-02-12 09:40     | SHA      | A20N     | B-30CM
