Flight     | Airline                                  | Arrival Time         | Origin   | Model    | Reg
MU2212     | China Eastern Airlines                   | 2026-02-12 17:00     | HRB      | A20N     | B-324A
HU7590     | Hainan Airlines                          | 2026-02-12 17:05     | SWA      | B738     | B-5620
MU2436     | China Eastern Airlines                   | 2026-02-12 17:05     | KRL      | A20N     | B-32C6
ZH9205     | Shenzhen Airlines                        | 2026-02-12 17:05     | SZX      | A320     | B-6377
GS6575     | Tianjin Airlines                         | 2026-02-12 17:05     | HJJ      | E90      | N/A
GS7526     | Tianjin Airlines                         | 2026-02-12 17:10     | YNZ      | A320     | B-8069
3U8229     | Sichuan Airlines                         | 2026-02-12 17:10     | KMG      | A320     | B-1885
HU6261     | Hainan Airlines                          | 2026-02-12 17:15     | DLC      | B738     | B-5372
MU2340     | China Eastern Airlines                   | 2026-02-12 17:15     | SYX      | A21N     | B-32MZ
9C8947     | Spring Airlines                          | 2026-02-12 17:15     | SHA      | A21N     | B-30FZ
3U3268     | Sichuan Airlines                         | 2026-02-12 17:20     | KRL      | A320     | B-1665
MU2885     | China Eastern Airlines                   | 2026-02-12 17:20     | NKG      | A320     | B-8222
HO1215     | Juneyao Air                              | 2026-02-12 17:25     | PVG      | A20N     | B-321A
9C6434     | Spring Airlines                          | 2026-02-12 17:35     | NGB      | A320     | B-6851
9H8414     | Air Changan                              | 2026-02-12 17:35     | NNY      | B738     | B-1902
ZH9296     | Shenzhen Airlines                        | 2026-02-12 17:35     | HFE      | A320     | B-6740
CA8115     | Air China                                | 2026-02-12 17:35     | HET      | AJ27     | B-91A6
GS7604     | Tianjin Airlines                         | 2026-02-12 17:35     | YYA      | E95      | N/A
CA8507     | Air China                                | 2026-02-12 17:40     | HGH      | A320     | B-6733
GS7678     | Tianjin Airlines                         | 2026-02-12 17:45     | ZYI      | A320     | B-8505
JD5028     | Capital Airlines                         | 2026-02-12 17:50     | CSX      | A320     | B-1603
CZ3889     | China Southern Airlines                  | 2026-02-12 17:50     | WUH      | C09      | N/A
KY8257     | Kunming Airlines                         | 2026-02-12 17:50     | KMG      | B738     | B-1547
MU2144     | China Eastern Airlines                   | 2026-02-12 17:55     | RKZ      | A319     | B-6446
MU2362     | China Eastern Airlines                   | 2026-02-12 18:00     | KMG      | B738     | B-5515
MU2398     | China Eastern Airlines                   | 2026-02-12 18:00     | HGH      | A321     | B-1813
MU6858     | China Eastern (Magnificent Qinghai Liver | 2026-02-12 18:00     | XNN      | A319     | B-6452
HU7576     | Hainan Airlines                          | 2026-02-12 18:05     | TSN      | B738     | B-1996
MU2334     | China Eastern Airlines                   | 2026-02-12 18:05     | LXA      | A319     | B-6461
MU2276     | China Eastern Airlines                   | 2026-02-12 18:10     | UYN      | A319     | B-6431
SC2195     | Shandong Airlines                        | 2026-02-12 18:10     | WUS      | B738     | B-1985
CZ6628     | China Southern Airlines                  | 2026-02-12 18:15     | URC      | 738      | N/A
MU2244     | China Eastern Airlines                   | 2026-02-12 18:15     | NGB      | A320     | B-6617
MU9855     | China Eastern Airlines                   | 2026-02-12 18:15     | SHA      | C919     | B-658V
CA1229     | Air China                                | 2026-02-12 18:15     | PEK      | C919     | B-919X
JD5514     | Capital Airlines                         | 2026-02-12 18:20     | YIC      | A320     | B-1643
MU2332     | China Eastern Airlines                   | 2026-02-12 18:30     | SZX      | A321     | B-1812
MF8237     | Xiamen Air                               | 2026-02-12 18:35     | XMN      | A21N     | B-32G9
MF8205     | Xiamen Air                               | 2026-02-12 18:40     | HGH      | A21N     | B-32EL
MU2162     | China Eastern Airlines                   | 2026-02-12 18:45     | PVG      | A20N     | B-329M
ZH9260     | Shenzhen Airlines                        | 2026-02-12 18:45     | NTG      | B738     | B-1941
GS7616     | Tianjin Airlines                         | 2026-02-12 18:45     | BAV      | E90      | N/A
MU5569     | China Eastern Airlines                   | 2026-02-12 18:45     | HFE      | A320     | B-1815
HU7365     | Hainan Airlines                          | 2026-02-12 18:50     | LZH      | B738     | B-5338
JD5522     | Capital Airlines                         | 2026-02-12 18:50     | LJG      | A319     | B-6180
CA8325     | Air China                                | 2026-02-12 18:55     | PVG      | A321     | B-6825
9C6294     | Spring Airlines                          | 2026-02-12 18:55     | BKK      | 320      | N/A
MU2138     | China Eastern Airlines                   | 2026-02-12 19:00     | FOC      | A20N     | B-32E1
ZH9207     | Shenzhen Airlines                        | 2026-02-12 19:00     | SZX      | 320      | N/A
CA2893     | Air China                                | 2026-02-12 19:00     | TSN      | B738     | B-1738
CZ8495     | China Southern Airlines                  | 2026-02-12 19:05     | SZX      | 321      | N/A
HU7868     | Hainan Airlines                          | 2026-02-12 19:05     | HGH      | B738     | B-5623
FM9489     | Shanghai Airlines                        | 2026-02-12 19:05     | CGQ      | B738     | B-7637
MU2116     | China Eastern Airlines                   | 2026-02-12 19:10     | PKX      | A321     | B-1615
MU2190     | China Eastern Airlines                   | 2026-02-12 19:10     | AKU      | A319     | B-6428
8L9639     | Lucky Air                                | 2026-02-12 19:15     | JHG      | A320     | B-6959
TV9964     | Tibet Airlines                           | 2026-02-12 19:15     | NTG      | A319     | B-6441
MU5022     | China Eastern Airlines                   | 2026-02-12 19:15     | TAO      | A320     | B-6601
CA1235     | Air China                                | 2026-02-12 19:20     | PEK      | C919     | B-658J
MU2314     | China Eastern Airlines                   | 2026-02-12 19:20     | XNN      | A319     | B-6471
GS7662     | Tianjin Airlines                         | 2026-02-12 19:25     | HUZ      | E90      | N/A
KY8259     | Kunming Airlines                         | 2026-02-12 19:25     | KMG      | B38M     | B-224K
CZ6948     | China Southern Airlines                  | 2026-02-12 19:30     | PKX      | A321     | B-1848
BK2764     | OKAir                                    | 2026-02-12 19:35     | JIU      | B738     | B-5571
CZ6399     | China Southern Airlines                  | 2026-02-12 19:35     | CGQ      | A21N     | B-306K
ZH8567     | Shenzhen Airlines                        | 2026-02-12 19:35     | NKG      | 738      | N/A
MU2895     | China Eastern Airlines                   | 2026-02-12 19:40     | NKG      | A320     | B-8228
MU2160     | China Eastern Airlines                   | 2026-02-12 19:40     | SHA      | C919     | B-659Z
3U3350     | Sichuan Airlines                         | 2026-02-12 19:45     | BHY      | 321      | N/A
CZ3203     | China Southern Airlines                  | 2026-02-12 19:45     | CAN      | A320     | B-6652
CZ6455     | China Southern Airlines                  | 2026-02-12 19:45     | SHE      | 32Q      | N/A
CZ6935     | China Southern Airlines                  | 2026-02-12 19:45     | SYX      | 333      | N/A
MU5225     | China Eastern Airlines                   | 2026-02-12 19:45     | XMN      | A320     | B-6616
MF8254     | Xiamen Air                               | 2026-02-12 19:50     | GYU      | B738     | B-1580
MU594      | China Eastern Airlines                   | 2026-02-12 19:50     | NRT      | A20N     | B-32CT
3U3264     | Sichuan Airlines                         | 2026-02-12 19:55     | LZO      | A320     | B-1886
CZ3947     | China Southern Airlines                  | 2026-02-12 19:55     | CSX      | 320      | N/A
CZ6250     | China Southern Airlines                  | 2026-02-12 20:00     | TFU      | 320      | N/A
MU2709     | China Eastern Airlines                   | 2026-02-12 20:00     | WUX      | A320     | B-6671
HU6253     | Hainan Airlines (Hainan Free Trade Port  | 2026-02-12 20:05     | CSX      | B738     | B-6063
MU6997     | China Eastern Airlines                   | 2026-02-12 20:05     | KHN      | AJ27     | B-651G
TV6096     | Tibet Airlines                           | 2026-02-12 20:05     | NNG      | A319     | B-309V
SC4975     | Shandong Airlines (云门号 - Cloud Gate Live | 2026-02-12 20:10     | TAO      | B738     | B-1986
MU2264     | China Eastern Airlines                   | 2026-02-12 20:10     | SHE      | B38M     | B-1383
MU2298     | China Eastern Airlines                   | 2026-02-12 20:10     | DLC      | A20N     | B-307F
CZ6306     | China Southern Airlines                  | 2026-02-12 20:15     | HFE      | B38M     | B-20D5
CA8113     | Air China                                | 2026-02-12 20:15     | HET      | AJ27     | B-91AC
CZ8821     | China Southern Airlines                  | 2026-02-12 20:20     | PKX      | 738      | N/A
MU6170     | China Eastern Airlines                   | 2026-02-12 20:20     | BPL      | A319     | B-6466
GJ8154     | Loong Air                                | 2026-02-12 20:25     | KHG      | 320      | N/A
HU7522     | Hainan Airlines                          | 2026-02-12 20:25     | ZUH      | 73H      | N/A
MU2322     | China Eastern Airlines                   | 2026-02-12 20:25     | KRY      | A319     | B-8379
9C8846     | Spring Airlines                          | 2026-02-12 20:25     | URC      | A20N     | B-30CM
MU2166     | China Eastern Airlines                   | 2026-02-12 20:30     | SHA      | A20N     | B-32DZ
GT1083     | Air Guilin                               | 2026-02-12 20:30     | KWL      | 320      | N/A
MU9822     | China Eastern Airlines                   | 2026-02-12 20:30     | KCA      | A20N     | B-320N
CZ3225     | China Southern Airlines                  | 2026-02-12 20:35     | SZX      | 333      | N/A
MU2386     | China Eastern Airlines                   | 2026-02-12 20:35     | HTN      | A20N     | B-303E
8L9835     | Lucky Air                                | 2026-02-12 20:40     | LJG      | A320     | B-6947
JD5302     | Capital Airlines                         | 2026-02-12 20:40     | HGH      | A320     | B-6709
MU2767     | China Eastern Airlines                   | 2026-02-12 20:40     | NKG      | A20N     | B-30ET
DR5066     | Ruili Airlines                           | 2026-02-12 20:45     | HET      | 73H      | N/A
RY8940     | Jiangxi Air                              | 2026-02-12 20:45     | URC      | 738      | N/A
HU7897     | Hainan Airlines                          | 2026-02-12 20:50     | URC      | 333      | N/A
JD5242     | Capital Airlines                         | 2026-02-12 20:50     | DLU      | A320     | B-6867
GX8801     | GX Airlines                              | 2026-02-12 20:50     | NNG      | A20N     | B-32J2
9C6462     | Spring Airlines                          | 2026-02-12 20:55     | YIN      | A20N     | B-328U
AQ1474     | 9 Air                                    | 2026-02-12 21:00     | TLQ      | B38M     | B-208H
TV6012     | Tibet Airlines                           | 2026-02-12 21:00     | DLU      | A19N     | B-32C1
MU2308     | China Eastern Airlines                   | 2026-02-12 21:05     | CAN      | A20N     | B-304P
MU9920     | China Eastern Airlines                   | 2026-02-12 21:05     | TNA      | A320     | B-6399
CZ6966     | China Southern Airlines                  | 2026-02-12 21:10     | URC      | A320     | B-9912
MU9924     | China Eastern Airlines                   | 2026-02-12 21:10     | YNT      | A320     | B-6003
ZH9274     | Shenzhen Airlines                        | 2026-02-12 21:10     | LYI      | 320      | N/A
8L9885     | Lucky Air                                | 2026-02-12 21:15     | KMG      | B738     | B-6015
MU2266     | China Eastern Airlines                   | 2026-02-12 21:15     | CSX      | A320     | B-6375
GJ8766     | Loong Air                                | 2026-02-12 21:15     | TAS      | 320      | N/A
MU2208     | China Eastern Airlines                   | 2026-02-12 21:20     | KMG      | A320     | B-6376
MU6924     | China Eastern Airlines                   | 2026-02-12 21:20     | TSN      | A321     | B-9903
CZ8795     | China Southern Airlines                  | 2026-02-12 21:25     | NNG      | B738     | B-5587
MU2174     | China Eastern Airlines                   | 2026-02-12 21:25     | HRB      | B738     | B-5796
MF8231     | Xiamen Air                               | 2026-02-12 21:30     | CSX      | B738     | B-5595
MU2118     | China Eastern Airlines                   | 2026-02-12 21:30     | PKX      | A20N     | B-32C5
GJ8558     | Loong Air                                | 2026-02-12 21:40     | DYU      | 320      | N/A
GS7698     | Tianjin Airlines                         | 2026-02-12 21:45     | AAT      | A320     | B-1619
MU2232     | China Eastern Airlines                   | 2026-02-12 21:45     | SHA      | A319     | B-6465
BK2850     | OKAir                                    | 2026-02-12 21:50     | NGB      | B739     | B-1522
GS7624     | Tianjin Airlines                         | 2026-02-12 21:50     | UYN      | E190     | B-3190
HU7842     | Hainan Airlines                          | 2026-02-12 21:55     | PVG      | B38M     | B-224F
CZ3231     | China Southern Airlines                  | 2026-02-12 22:00     | CAN      | 320      | N/A
CZ5791     | China Southern Airlines                  | 2026-02-12 22:00     | PVG      | B738     | B-1717
SC8734     | Shandong Airlines                        | 2026-02-12 22:00     | KRL      | B738     | B-7978
9H8302     | Air Changan                              | 2026-02-12 22:05     | SZX      | B738     | B-5687
MU6156     | China Eastern Airlines                   | 2026-02-12 22:05     | FOC      | A319     | B-6429
SC4966     | Shandong Airlines (DEEJ Livery)          | 2026-02-12 22:05     | KWE      | B738     | B-1983
MU2342     | China Eastern Airlines                   | 2026-02-12 22:10     | ZUH      | A20N     | B-323Z
MU2983     | China Eastern Airlines                   | 2026-02-12 22:10     | CZX      | A320     | B-6879
SC4973     | Shandong Airlines                        | 2026-02-12 22:10     | TAO      | B738     | B-1227
TV6080     | Tibet Airlines                           | 2026-02-12 22:10     | BAR      | A319     | B-300W
ZH9209     | Shenzhen Airlines                        | 2026-02-12 22:15     | SZX      | 320      | N/A
ZH9276     | Shenzhen Airlines                        | 2026-02-12 22:15     | HUZ      | A20N     | B-309P
ZH9288     | Shenzhen Airlines                        | 2026-02-12 22:15     | WUX      | 320      | N/A
HU7520     | Hainan Airlines                          | 2026-02-12 22:15     | KWE      | B738     | B-1491
MU2120     | China Eastern Airlines                   | 2026-02-12 22:15     | PKX      | C919     | B-919A
PN6585     | West Air                                 | 2026-02-12 22:20     | HFE      | A320     | B-8845
HU7858     | Hainan Airlines                          | 2026-02-12 22:20     | CAN      | 738      | N/A
MU2236     | China Eastern Airlines                   | 2026-02-12 22:20     | SZX      | A21N     | B-32P6
MU2278     | China Eastern Airlines                   | 2026-02-12 22:20     | UYN      | A319     | B-6431
CA1205     | Air China                                | 2026-02-12 22:25     | PEK      | B738     | B-7896
MU2260     | China Eastern (Magnificent Qinghai Liver | 2026-02-12 22:25     | JGN      | A319     | B-6458
MU6531     | China Eastern Airlines                   | 2026-02-12 22:25     | TAO      | A20N     | B-30DK
GS7674     | Tianjin Airlines                         | 2026-02-12 22:30     | KWE      | 320      | N/A
MU2272     | China Eastern Airlines                   | 2026-02-12 22:30     | CGQ      | A20N     | B-30CX
MU6728     | China Eastern Airlines                   | 2026-02-12 22:30     | HAK      | A20N     | B-305Z
GS7682     | Tianjin Airlines                         | 2026-02-12 22:30     | CGD      | E90      | N/A
MU2168     | China Eastern Airlines                   | 2026-02-12 22:30     | SHA      | C919     | B-65A0
HU7817     | Hainan Airlines                          | 2026-02-12 22:35     | URC      | B738     | B-1995
MU2224     | China Eastern Airlines                   | 2026-02-12 22:45     | HGH      | A332     | B-5926
9C8945     | Spring Airlines                          | 2026-02-12 22:45     | SHA      | A21N     | B-32EF
CZ8265     | China Southern Airlines                  | 2026-02-12 22:50     | NNG      | 738      | N/A
9H8316     | Air Changan                              | 2026-02-12 22:55     | BZX      | 738      | N/A
CZ3211     | China Southern Airlines                  | 2026-02-12 22:55     | CAN      | 738      | N/A
MU2268     | China Eastern Airlines                   | 2026-02-12 22:55     | CKG      | A20N     | B-30AX
HU7570     | Hainan Airlines                          | 2026-02-12 23:00     | SHE      | B38M     | B-224J
CF202      | China Postal Airlines                    | 2026-02-12 23:00     | ICN      | 73F      | N/A
MU2378     | China Eastern Airlines                   | 2026-02-12 23:05     | AAT      | A20N     | B-329C
ZH9211     | Shenzhen Airlines                        | 2026-02-12 23:05     | SZX      | 320      | N/A
MU2376     | China Eastern Airlines                   | 2026-02-12 23:05     | GOQ      | A319     | B-6460
TV6032     | Tibet Airlines                           | 2026-02-12 23:05     | LJG      | A319     | B-300W
GS7901     | Tianjin Airlines                         | 2026-02-12 23:10     | TSN      | A320     | B-6865
MU2170     | China Eastern Airlines                   | 2026-02-12 23:10     | SHA      | A321     | B-9905
HU7550     | Hainan Airlines                          | 2026-02-12 23:15     | KMG      | 73H      | N/A
HU7876     | Hainan Airlines                          | 2026-02-12 23:15     | SZX      | B738     | B-1102
GS7686     | Tianjin Airlines                         | 2026-02-12 23:20     | WDS      | E190     | B-3176
ZH9248     | Shenzhen Airlines                        | 2026-02-12 23:20     | WNZ      | 320      | N/A
MU874      | China Eastern Airlines                   | 2026-02-12 23:25     | KMG      | A20N     | B-309A
9H8418     | Air Changan                              | 2026-02-12 23:30     | JGS      | B738     | B-1482
CZ6725     | China Southern Airlines                  | 2026-02-12 23:30     | HAK      | A321     | B-6663
GJ8194     | Loong Air                                | 2026-02-12 23:30     | WNZ      | A20N     | B-304Y
JD5140     | Capital Airlines                         | 2026-02-12 23:30     | AKU      | A319     | B-6415
3U3258     | Sichuan Airlines                         | 2026-02-12 23:35     | BHY      | A319     | B-6433
HU7878     | Hainan Airlines                          | 2026-02-12 23:35     | SYX      | 73H      | N/A
MU2193     | China Eastern Airlines                   | 2026-02-12 23:35     | PVG      | A20N     | B-327X
G52770     | China Express Airlines                   | 2026-02-12 23:35     | JUZ      | 321      | N/A
9H8396     | Air Changan                              | 2026-02-12 23:40     | KWL      | 738      | N/A
JD5510     | Capital Airlines                         | 2026-02-12 23:40     | CSX      | A320     | B-1603
MU2122     | China Eastern Airlines                   | 2026-02-12 23:40     | PKX      | A20N     | B-32DK
TV9996     | Tibet Airlines                           | 2026-02-12 23:40     | SHE      | A19N     | B-32AK
9H8358     | Air Changan                              | 2026-02-12 23:45     | CGQ      | B738     | B-1483
G52844     | China Express Airlines                   | 2026-02-12 23:45     | JHG      | 321      | N/A
9C6382     | Spring Airlines                          | 2026-02-12 23:45     | KHG      | 320      | N/A
GS7672     | Tianjin Airlines                         | 2026-02-12 23:50     | KWE      | A320     | B-8505
MU2247     | China Eastern Airlines                   | 2026-02-12 23:50     | SZX      | A20N     | B-30DL
CZ3217     | China Southern Airlines                  | 2026-02-12 23:50     | CAN      | 738      | N/A
GJ8529     | Loong Air (19th Asian Games Livery)      | 2026-02-12 23:50     | NGB      | A320     | B-8145
CZ3793     | China Southern Airlines                  | 2026-02-12 23:55     | SZX      | 738      | N/A
CZ6415     | China Southern Airlines                  | 2026-02-12 23:55     | SHE      | 32Q      | N/A
GS7628     | Tianjin Airlines                         | 2026-02-12 23:55     | UYN      | E190     | B-3170
HU7265     | Hainan Airlines                          | 2026-02-12 23:55     | HAK      | 73H      | N/A
HU7504     | Hainan Airlines                          | 2026-02-13 00:05     | NKG      | B738     | B-1996
MU2140     | China Eastern Airlines                   | 2026-02-13 00:05     | SYX      | A332     | B-5938
MU9906     | China Eastern (SkyTeam Livery)           | 2026-02-13 00:05     | XMN      | A321     | B-1837
MU2204     | China Eastern Airlines                   | 2026-02-13 00:10     | KHG      | A21N     | B-32L8
MU6168     | China Eastern Airlines                   | 2026-02-13 00:10     | DLC      | A20N     | B-32C6
MU2172     | China Eastern Airlines                   | 2026-02-13 00:10     | HAK      | A21N     | B-32KA
HU7337     | Hainan Airlines                          | 2026-02-13 00:15     | PEK      | B738     | B-5638
MU2290     | China Eastern Airlines                   | 2026-02-13 00:15     | WNZ      | A320     | B-6799
3U3256     | Sichuan Airlines                         | 2026-02-13 00:15     | LXA      | A319     | B-6419
9H8354     | Air Changan                              | 2026-02-13 00:15     | YIH      | B738     | B-5580
JD5538     | Capital Airlines                         | 2026-02-13 00:20     | HSC      | A319     | B-6179
ZH9280     | Shenzhen Airlines                        | 2026-02-13 00:20     | NNG      | 320      | N/A
GJ8657     | Loong Air                                | 2026-02-13 00:20     | ENH      | 320      | N/A
ZH9225     | Shenzhen Airlines                        | 2026-02-13 00:20     | CAN      | A20N     | B-30FP
9H8398     | Air Changan                              | 2026-02-13 00:25     | ZHA      | B738     | B-5579
MU2356     | China Eastern Airlines                   | 2026-02-13 00:25     | KRL      | A319     | B-6423
TR134      | Scoot                                    | 2026-02-13 00:25     | SIN      | 32Q      | N/A
MU6202     | China Eastern Airlines                   | 2026-02-13 00:25     | YZY      | A319     | B-6476
9H8356     | Air Changan                              | 2026-02-13 00:30     | KHG      | B738     | B-1162
CZ5427     | China Southern Airlines                  | 2026-02-13 00:30     | CSX      | 320      | N/A
GS7642     | Tianjin Airlines                         | 2026-02-13 00:30     | HET      | A320     | B-9987
JD5078     | Capital Airlines                         | 2026-02-13 00:30     | CKG      | A319     | B-6180
MU2380     | China Eastern Airlines                   | 2026-02-13 00:30     | HGH      | A21N     | B-32MZ
GS7680     | Tianjin Airlines                         | 2026-02-13 00:35     | JUH      | E95      | N/A
3U3270     | Sichuan Airlines                         | 2026-02-13 00:35     | PVG      | A320     | B-6325
9H8322     | Air Changan                              | 2026-02-13 00:40     | KMG      | B738     | B-1902
9H8390     | Air Changan                              | 2026-02-13 00:40     | BHY      | B738     | B-5328
MU750      | China Eastern (eastday.com Livery)       | 2026-02-13 00:40     | WUH      | A332     | B-5943
MU2300     | China Eastern Airlines                   | 2026-02-13 00:45     | URC      | A21N     | B-32N1
JD5144     | Capital Airlines                         | 2026-02-13 00:50     | KWL      | 320      | N/A
GS7668     | Tianjin Airlines                         | 2026-02-13 00:50     | HYN      | E95      | N/A
3U3296     | Sichuan Airlines                         | 2026-02-13 00:50     | ZUH      | A320     | B-1665
HU6257     | Hainan Airlines                          | 2026-02-13 00:55     | PEK      | B738     | B-5479
9C6460     | Spring Airlines                          | 2026-02-13 00:55     | SWA      | A20N     | B-306Z
MU9940     | China Eastern Airlines                   | 2026-02-13 01:00     | YIN      | A20N     | B-32C3
MU2124     | China Eastern (SkyTeam Livery            | 2026-02-13 01:00     | PKX      | A321     | B-8977
G54380     | China Express Airlines                   | 2026-02-13 01:05     | XFN      | 321      | N/A
GS7646     | Tianjin Airlines                         | 2026-02-13 01:05     | TSN      | A320     | B-1030
KY3182     | Kunming Airlines                         | 2026-02-13 01:05     | KMG      | B738     | B-6493
9C6401     | Spring Airlines                          | 2026-02-13 01:10     | SHA      | A320     | B-1025
9H8362     | Air Changan                              | 2026-02-13 01:10     | SYX      | B738     | B-1481
MU852      | China Eastern Airlines                   | 2026-02-13 01:10     | NKG      | A332     | B-5968
9H8348     | Air Changan                              | 2026-02-13 01:15     | KRL      | B738     | B-1163
HX418      | Hong Kong Airlines                       | 2026-02-13 01:15     | HKG      | A320     | B-LPJ
JD5070     | Capital Airlines                         | 2026-02-13 01:20     | SHE      | A320     | B-6869
MU2350     | China Eastern Airlines                   | 2026-02-13 01:20     | XNN      | A320     | B-6346
MU2304     | China Eastern Airlines                   | 2026-02-13 01:30     | CAN      | A321     | B-1813
GS7660     | Tianjin Airlines                         | 2026-02-13 01:35     | HNY      | 320      | N/A
MU2240     | China Eastern Airlines                   | 2026-02-13 01:35     | SHA      | A321     | B-8861
MU2434     | China Eastern Airlines                   | 2026-02-13 01:40     | HGH      | A320     | B-6617
9C8759     | Spring Airlines                          | 2026-02-13 01:45     | SZX      | 320      | N/A
GS7606     | Tianjin Airlines                         | 2026-02-13 01:50     | URC      | 320      | N/A
GS7652     | Tianjin Airlines                         | 2026-02-13 01:55     | HMI      | E90      | N/A
9C6628     | Spring Airlines                          | 2026-02-13 02:00     | CNX      | 320      | N/A
O37508     | SF Airlines                              | 2026-02-13 02:10     | CGO      | 73F      | N/A
GI4104     | Gridiron Air                             | 2026-02-13 04:15     | UYN      | 737      | N/A
HU7908     | Hainan Airlines                          | 2026-02-13 05:30     | CDG      | 789      | N/A
CF202      | China Postal Airlines                    | 2026-02-13 05:35     | ICN      | 73F      | N/A
JG2676     | JDL Airlines                             | 2026-02-13 05:45     | WHA      | 73F      | N/A
MU2082     | China Eastern Airlines                   | 2026-02-13 05:55     | HKT      | A20N     | B-324A
O37502     | SF Airlines                              | 2026-02-13 07:00     | EHU      | 73F      | N/A
CZ8062     | China Southern Airlines                  | 2026-02-13 07:05     | ALA      | 738      | N/A
CO9618     | Cobalt Air                               | 2026-02-13 07:30     | CAN      | 75F      | N/A
9H8404     | Air Changan                              | 2026-02-13 07:35     | KWE      | 738      | N/A
9H8338     | Air Changan                              | 2026-02-13 07:40     | CSX      | 733      | N/A
MU9986     | China Eastern Airlines                   | 2026-02-13 07:55     | UYN      | A319     | B-6429
BK2863     | Okay Airways                             | 2026-02-13 08:15     | CSX      | 73W      | N/A
CF9034     | China Postal Airlines                    | 2026-02-13 08:25     | NKG      | 73F      | N/A
MU2301     | China Eastern Airlines                   | 2026-02-13 08:25     | INC      | A20N     | B-308W
GS7666     | Tianjin Airlines                         | 2026-02-13 08:30     | CKG      | 320      | N/A
MU2153     | China Eastern Airlines                   | 2026-02-13 08:35     | XNN      | A319     | B-6470
3U8229     | Sichuan Airlines                         | 2026-02-13 08:35     | KMG      | 320      | N/A
MU5677     | China Eastern Airlines                   | 2026-02-13 08:40     | HGH      | A320     | B-8857
MU2413     | China Eastern Airlines                   | 2026-02-13 08:40     | TAO      | A321     | B-8172
MU7224     | China Eastern Airlines                   | 2026-02-13 08:45     | SIN      | A20N     | B-32E1
MU203      | China Eastern Airlines                   | 2026-02-13 08:45     | DSN      | A320     | B-6601
DR6557     | Ruili Airlines                           | 2026-02-13 08:50     | KMG      | 73H      | N/A
AQ1105     | 9 Air                                    | 2026-02-13 08:50     | CAN      | 738      | N/A
SC4965     | Shandong Airlines                        | 2026-02-13 08:50     | TAO      | 738      | N/A
CA1769     | Air China                                | 2026-02-13 08:55     | HGH      | 320      | N/A
HU7137     | Hainan Airlines                          | 2026-02-13 08:55     | PEK      | 73H      | N/A
MU2429     | China Eastern Airlines                   | 2026-02-13 08:55     | TNA      | A320     | B-6399
9C8753     | Spring Airlines                          | 2026-02-13 08:55     | SZX      | 320      | N/A
GT1041     | Air Guilin                               | 2026-02-13 09:00     | KWL      | 320      | N/A
MU9093     | China Eastern Airlines                   | 2026-02-13 09:00     | HFE      | AJ27     | B-651U
MU2335     | China Eastern Airlines                   | 2026-02-13 09:15     | SHA      | A20N     | B-329M
GJ8153     | Loong Air                                | 2026-02-13 09:15     | HGH      | 320      | N/A
CA1231     | Air China                                | 2026-02-13 09:20     | PEK      | 919      | N/A
GX8897     | GX Airlines                              | 2026-02-13 09:20     | NNG      | 320      | N/A
MU2795     | China Eastern Airlines                   | 2026-02-13 09:20     | NKG      | A320     | B-8498
CA8219     | Air China                                | 2026-02-13 09:25     | WUH      | 320      | N/A
9C8845     | Spring Airlines                          | 2026-02-13 09:25     | SHA      | 320      | N/A
MU2971     | China Eastern Airlines                   | 2026-02-13 09:30     | CZX      | A319     | B-6457
KY8251     | Kunming Airlines                         | 2026-02-13 09:30     | KMG      | 738      | N/A
MU9988     | China Eastern Airlines                   | 2026-02-13 09:30     | HET      | A319     | B-6461
3U6311     | Sichuan Airlines                         | 2026-02-13 09:35     | TFU      | 320      | N/A
HU7165     | Hainan Airlines                          | 2026-02-13 09:35     | HAK      | 73H      | N/A
MU5551     | China Eastern Airlines                   | 2026-02-13 09:35     | KHN      | A320     | B-8566
MU6955     | China Eastern Airlines                   | 2026-02-13 09:35     | CAN      | B738     | B-5796
CA2875     | Air China                                | 2026-02-13 09:40     | TSN      | 738      | N/A
MF8209     | Xiamen Air                               | 2026-02-13 09:40     | HGH      | B738     | B-1371
9C8831     | Spring Airlines                          | 2026-02-13 09:40     | SHE      | 320      | N/A
CZ3721     | China Southern Airlines                  | 2026-02-13 09:45     | CSX      | 320      | N/A
CZ8555     | China Southern Airlines                  | 2026-02-13 09:45     | WUH      | C09      | N/A
MU2385     | China Eastern Airlines                   | 2026-02-13 09:45     | HFE      | A20N     | B-300R
HU7870     | Hainan Airlines                          | 2026-02-13 09:50     | SZX      | 737      | N/A
EU1879     | Chengdu Airlines                         | 2026-02-13 09:55     | CSX      | 320      | N/A
CZ3201     | China Southern Airlines                  | 2026-02-13 10:00     | CAN      | 919      | N/A
MU2176     | China Eastern Airlines                   | 2026-02-13 10:00     | UYN      | A319     | B-6428
HU7828     | Hainan Airlines                          | 2026-02-13 10:05     | CAN      | 73H      | N/A
MU2136     | China Eastern Airlines                   | 2026-02-13 10:05     | PKX      | A20N     | B-32DZ
MU6916     | China Eastern Airlines                   | 2026-02-13 10:05     | SHE      | A20N     | B-32CT
GX8811     | GX Airlines                              | 2026-02-13 10:10     | NNG      | 320      | N/A
MU6205     | China Eastern Airlines                   | 2026-02-13 10:15     | HGH      | A321     | B-8567
MU6987     | China Eastern Airlines                   | 2026-02-13 10:20     | KHN      | AJ27     | B-653T
